Robot's State Package（Format: Package Format）				
	Type	names	number of bytes	Description
Message Head(5 bytes)	uint32_t	total_message_len	4	Length of whole package
	uint8_t	total_message_type	1	Type of package = MESSAGE_TYPE_ROBOT_STATE = 16
Robot mode sub-package(53 bytes)	uint32_t	mode_sub_len	4	Length of sub-package
	uint8_t	mode_sub_type	1	Type of sub-package = ROBOT_STATE_PACKAGE_TYPE_ROBOT_MODE_DATA = 0
	uint64_t	timestamp	8	The subtle number of the robot from startup to the current moment (Every second update)
	bool	reserver	1	reserver
	bool	reserver	1	reserver
	bool	is_robot_power_on	1	Whether the robot is powered on
	bool	is_emergency_stopped	1	Whether the robot is in the state of robot emergency stop and system emergency stop
	bool	is_robot_protective_stopped	1	Whether the robot is in the protected stop state
	bool	is_program_running	1	Whether the program is not running
	bool	is_program_paused	1	Whether the program is paused
	uint8_t	get_robot_mode	1	Robot mode: Details ROBOT_MODE
	uint8_t	get_robot_control_mode	1	Robot control mode: Details ROBOT_CONTROL_MODE
	double	get_target_speed_fraction	8	"Target speed scaling ratio. Range in [0.01 , 1]"
	double	get_speed_scaling	8	"Robot program speed scaling ratio. Range in [0.01 , 1]"
	double	get_target_speed_fraction_limit	8	Target point speed limit
	uint8_t	get_robot_speed_mode	1	"Robot speed mode, Details: ROBOT_SPEED_MODE"
	bool	is_robot_system_in_alarm	1	Whether the robot is in the alarming
	bool	is_in_package_mode	1	Whether the robot is in the package mode
	uint32_t	reverse	4	reverse
Joint sub-package(347 bytes)	uint32_t	joint_sub_len	4	Length of sub-package
	uint8_t	joint_sub_type	1	Type of sub-package = ROBOT_STATE_PACKAGE_TYPE_JOINT_DATA = 1
	foreach joint:			
	double	actual_joint	8	Read joint angle. Unit: rad
	double	target_joint	8	Targe joint angle. Unit: rad
	double	actual_velocity	8	Real speed. Unit: rad/s
	int32_t	target_pluse	4	Joint encoder target pulse
	int32_t	actual_pluse	4	Joint encoder actual pulse
	int32_t	zero_pluse	4	Joint encoder zero pulse
	float	current	4	Joint current
	float	voltage	4	Joint voltage
	float	temperature	4	Joint temperature
	float	torques	4	Joint torque
	uint8_t	mode	1	Joint mode. Details: JOINT_AND_TOOL_MODE
	uint32_t	reserve	4	reserve
	end			
Cartesian sub-package(101 bytes)	uint32_t	cartesial_sub_len	4	Length of sub-package
	uint8_t	cartesial_sub_type	1	Type of sub-package = ROBOT_STATE_PACKAGE_TYPE_CARTESIAN_INFO = 4
	double	tcp_x	8	Tool coordinate position X axis
	double	tcp_y	8	Tool coordinate position Y axis
	double	tcp_z	8	Tool coordinate position Z axis
	double	rot_x	8	Tool pose rotation Angle X axis
	double	rot_y	8	Tool pose rotation Angle Y axis
	double	rot_z	8	Tool pose rotation Angle Z axis
	double	offset_px	8	Tool size data X axis
	double	offset_py	8	Tool size data Y axis
	double	offset_pz	8	Tool size data Z axis
	double	offset_rotx	8	Tool size data Rotation Angle X axis
	double	offset_roty	8	Tool size data Rotation Angle Y axis
	double	offset_rotz	8	Tool size data Rotation Angle Z axis
Robot configure sub-package(445 bytes)	uint32_t	configuration_sub_len	4	Length of sub-package
	uint8_t	configuration_sub_type	1	Type of sub-package = ROBOT_STATE_PACKAGE_TYPE_CONFIGURATION_DATA = 6
	foreach joint:			
	double	limit_min_joint_x	8	Minimum hard limit for joint X
	double	limit_max_joint_x	8	Maximum hard limit of joint X
	end			
	foreach joint:			
	double	max_velocity_joint_x	8	Maximum speed of joint X
	double	max_acc_joint_x	8	Maximum accelerated of joint X
	end			
	double	default_velocity_joint	8	Default speed of joint X
	double	default_acc_joint	8	Default acclerated of joint X
	double	default_tool_velocity	8	Default tool speed
	double	default_tool_acc	8	Default tool acclerated
	double	eq_radius	8	Default blend radius
	foreach joint:			
	double	dh_a_joint_x	8	The DH parameter in 'a' of joint X
	end			
	foreach joint:			
	double	dh_d_joint_d	8	The DH parameter in 'd' of joint X
	end			
	foreach joint:			
	double	dh_alpha_joint_x	8	The DH parameter in 'alpha' of joint X
	end			
	foreach joint:			
	double	reserver	8	Reserver
	end			
	uint32_t	board_version	4	The version of motherboard
	uint32_t	control_box_type	4	The control box of robot
	uint32_t	robot_type	4	Robot Type. Details: ROBOT_TYPE
	uint32_t	robot_struct	4	Robot structure type. Details: ROBOT_STRUCTURE_TYPE
Robot motherboard sub-package(88 bytes)	uint32_t	masterboard_sub_len	4	Length of sub-package
	uint8_t	masterboard_sub_type	1	Type of sub-package = ROBOT_STATE_PACKAGE_TYPE_MASTERBOARD_DATA = 3
	uint32_t	digital_input_bits	4	Gets all digital input IO values. The value of each bit:  xxxxTTTTCCCCCCCCDDDDDDDDDDDDDDD. Explan: 'D' is digtal input IO; C is configurable input io; T is tool input io; x is NC.
	uint32_t	digital_output_bits	4	Gets all digital output IO values. The value of each bit:  xxxxTTTTCCCCCCCCDDDDDDDDDDDDDDD. Explan: 'D' is digtal output IO; C is configurable output io; T is tool output io; x is NC.
	uint8_t	standard_analog_input_domain0	1	"Analog input IO0 configure, Details: ANALOG_DOMAIN"
	uint8_t	standard_analog_input_domain1	1	"Analog input IO1 configure, Details: ANALOG_DOMAIN"
	uint8_t	tool_analog_input_domain	1	"Tool analog IO configure, Details: ANALOG_DOMAIN"
	double	standard_analog_input_value0	8	Analog input IO0 value
	double	standard_analog_input_value1	8	Analog input IO1 value
	double	tool_analog_input_value	8	Tool analog input io value
	uint8_t	standard_analog_output_domain0	1	Analog output IO0 configure. Details: ANALOG_DOMAIN
	uint8_t	standard_analog_output_domain1	1	Analog output IO1 configure. Details: ANALOG_DOMAIN
	uint8_t	tool_analog_output_domain	1	Tool analog output io configure. Details: ANALOG_DOMAIN
	double	standard_analog_output_value0	8	Analog IO0 ouput value
	double	standard_analog_output_value1	8	Analog IO1 ouput value
	double	tool_analog_output_value	8	Tool analog IO ouput value
	float	bord_temperature	4	Motherboard temperature
	float	robot_voltage	4	Robot voltage
	float	robot_current	4	Robot current
	float	io_current	4	IO current
	uint8_t	bord_safe_mode	1	Motherboard aggregated mode. Details: SAFETY_MODE
	bool	is_robot_in_reduced_mode	1	Wether motherboard in reduce mode
	bool	get_operational_mode_selector_input	1	operational mode selector state
	bool	get_threeposition_enabling_device_input	1	threeposition is enabling
	uint8_t	masterboard_safety_mode	1	Motherboard mode. Details: SAFETY_MODE
Robot additional information sub-package(10 bytes)	uint32_t	additional_sub_len	4	Length of sub-package
	uint8_t	additional_sub_type	1	Type of sub-package = ROBOT_STATE_PACKAGE_TYPE_ADDITIONAL_INFO = 8
	bool	is_freedrive_button_pressed	1	"Wether the drive teaching is pressing. Pressing is true, not is false"
	bool	reserver	1	reserver
	bool	is_freedrive_io_enabled	1	"Wether the driver teaching IO state. Opening is true, not is false"
	bool	is_dynamic_collision_detect_enabled	1	"Current collision detection mode status. Enable is true, not is false"
	uint8_t	reserver	1	reserver
Robot tool data sub-package(37 bytes)	uint32_t	tool_sub_len	4	Length of sub-package
	uint8_t	tool_sub_type	1	Type of sub-package = ROBOT_STATE_PACKAGE_TYPE_TOOL_DATA = 2
	uint8_t	tool_analog_output_domain	1	Tool analog IO output configure. Details: ANALOG_DOMAIN
	uint8_t	tool_analog_input_domain	1	Tool analog IO input configure. Details: ANALOG_DOMAIN
	double	tool_analog_output_value	8	Tool analog IO output value.
	double	tool_analog_input_value	8	Tool analog IO input value.
	float	tool_voltage	4	Tool voltage
	uint8_t	tool_output_voltage	1	Tool output voltage. Details: TOOL_OUTPUT_VOLTAGE
	float	tool_current	4	Tool output current
	float	tool_temperature	4	Tool temperature.
	uint8_t	tool_mode	1	Tool mode. Details: JOINT_AND_TOOL_MODE
Robot satety mode sub-package(43 bytes)	uint32_t	safe_sub_len	4	Length of sub-package
	uint8_t	safe_sub_type	1	Type of sub-package = ROBOT_STATE_PACKAGE_TYPE_SAFETY_STATE = 10
	uint32_t	safety_crc_num	4	Robot safety parameter verification code
	int8_t	safety_operational_mode	1	Robot safety operation mode. Deltails: SAFETY_OPERATIONAL_MODE
	uint8_t	reserver	1	reserver
	double	current_elbow_position_x	8	Real-time position x of the robot elbow
	double	current_elbow_position_y	8	Real-time position y of the robot elbow
	double	current_elbow_position_z	8	Real-time position z of the robot elbow
	double	elbow_radius	8	The elbow radius of the robot
Robot communication sub-package(28 bytes)	uint32_t	tool_comm_sub_len	4	Length of sub-package
	uint8_t	tool_comm_sub_type	1	Subreport type = ROBOT_STATE_PACKAGE_TYPE_TOOL_COMM_INFO = 11
	bool	is_enable	1	Is enable
	uint32_t	baudrate	4	Baud rate
	uint32_t	parity	4	parity check bit. None is 0; Odd is 1; Even is 2
	uint32_t	stopbits	4	Stop bits
	bool	tci_modbus_status	1	Wether open Modbus-RTU
	uint8_t	tci_usage	1	Tool TCI USAGE (0:Script Mode 1:Daemon Mode）
	float	reserved0	4	reserve
	float	reserved1	4	reserve
				
				
				
				
				
				
				
				
				
				
				
				
				
				
