index,s_m,phase,theta_deg,x_m,y_m,z_m,rx,ry,rz,pivot_x_m,pivot_y_m,pivot_z_m
0,0.000000,0.0000,0.0000,0.500000,-0.300000,0.580000,-0.072000,0.139000,-1.612000,0.501982,-0.300678,0.594853
1,0.000403,0.0504,2.4194,0.499375,-0.299597,0.580097,-0.106076,0.171630,-1.611042,0.501982,-0.300275,0.594853
2,0.000806,0.1008,4.8387,0.498754,-0.299194,0.580220,-0.140161,0.204245,-1.609558,0.501982,-0.299871,0.594853
3,0.001210,0.1512,7.2581,0.498139,-0.298790,0.580369,-0.174251,0.236843,-1.607546,0.501982,-0.299468,0.594853
4,0.001613,0.2016,9.6774,0.497531,-0.298387,0.580545,-0.208344,0.269421,-1.605006,0.501982,-0.299065,0.594853
5,0.002016,0.2520,11.9032,0.496979,-0.297984,0.580728,-0.239709,0.299371,-1.602203,0.501982,-0.298662,0.594853
6,0.002419,0.3024,9.4839,0.497580,-0.297581,0.580530,-0.205616,0.266815,-1.605229,0.501982,-0.298258,0.594853
7,0.002823,0.3528,7.0645,0.498188,-0.297177,0.580357,-0.171523,0.234236,-1.607727,0.501982,-0.297855,0.594853
8,0.003226,0.4032,4.6452,0.498804,-0.296774,0.580209,-0.137434,0.201637,-1.609696,0.501982,-0.297452,0.594853
9,0.003629,0.4536,2.2258,0.499425,-0.296371,0.580088,-0.103350,0.169020,-1.611138,0.501982,-0.297049,0.594853
10,0.004032,0.5040,-0.1935,0.500050,-0.295968,0.579993,-0.069274,0.136389,-1.612054,0.501982,-0.296646,0.594853
11,0.004435,0.5544,-2.6129,0.500679,-0.295565,0.579925,-0.035211,0.103746,-1.612444,0.501982,-0.296242,0.594853
12,0.004839,0.6048,-5.0323,0.501310,-0.295161,0.579883,-0.001162,0.071095,-1.612309,0.501982,-0.295839,0.594853
13,0.005242,0.6552,-7.4516,0.501943,-0.294758,0.579868,0.032870,0.038437,-1.611649,0.501982,-0.295436,0.594853
14,0.005645,0.7056,-9.8710,0.502576,-0.294355,0.579880,0.066881,0.005777,-1.610465,0.501982,-0.295033,0.594853
15,0.006048,0.7560,-11.7097,0.503056,-0.293952,0.579907,0.092714,-0.019046,-1.609214,0.501982,-0.294629,0.594853
16,0.006452,0.8065,-9.2903,0.502424,-0.293548,0.579875,0.058720,0.013615,-1.610797,0.501982,-0.294226,0.594853
17,0.006855,0.8569,-6.8710,0.501791,-0.293145,0.579870,0.024704,0.046276,-1.611855,0.501982,-0.293823,0.594853
18,0.007258,0.9073,-4.4516,0.501159,-0.292742,0.579891,-0.009332,0.078932,-1.612389,0.501982,-0.293420,0.594853
19,0.007661,0.9577,-2.0323,0.500528,-0.292339,0.579939,-0.043385,0.111582,-1.612398,0.501982,-0.293016,0.594853
20,0.008065,0.0081,0.3871,0.499900,-0.291935,0.580014,-0.077451,0.144222,-1.611882,0.501982,-0.292613,0.594853
21,0.008468,0.0585,2.8065,0.499275,-0.291532,0.580115,-0.111529,0.176849,-1.610840,0.501982,-0.292210,0.594853
22,0.008871,0.1089,5.2258,0.498655,-0.291129,0.580242,-0.145615,0.209462,-1.609271,0.501982,-0.291807,0.594853
23,0.009274,0.1593,7.6452,0.498042,-0.290726,0.580396,-0.179705,0.242057,-1.607175,0.501982,-0.291404,0.594853
24,0.009677,0.2097,10.0645,0.497435,-0.290323,0.580575,-0.213799,0.274631,-1.604551,0.501982,-0.291000,0.594853
25,0.010081,0.2601,11.5161,0.497075,-0.289919,0.580695,-0.234254,0.294164,-1.602722,0.501982,-0.290597,0.594853
26,0.010484,0.3105,9.0968,0.497677,-0.289516,0.580500,-0.200161,0.261604,-1.605664,0.501982,-0.290194,0.594853
27,0.010887,0.3609,6.6774,0.498286,-0.289113,0.580331,-0.166069,0.229021,-1.608077,0.501982,-0.289791,0.594853
28,0.011290,0.4113,4.2581,0.498903,-0.288710,0.580188,-0.131980,0.196419,-1.609962,0.501982,-0.289387,0.594853
29,0.011694,0.4617,1.8387,0.499524,-0.288306,0.580071,-0.097897,0.163800,-1.611320,0.501982,-0.288984,0.594853
30,0.012097,0.5121,-0.5806,0.500151,-0.287903,0.579981,-0.063823,0.131167,-1.612152,0.501982,-0.288581,0.594853
31,0.012500,0.5625,-3.0000,0.500780,-0.287500,0.579917,-0.029762,0.098523,-1.612458,0.501982,-0.288178,0.594853
32,0.012903,0.6129,-5.4194,0.501412,-0.287097,0.579879,0.004284,0.065870,-1.612239,0.501982,-0.287775,0.594853
33,0.013306,0.6633,-7.8387,0.502044,-0.286694,0.579868,0.038313,0.033212,-1.611495,0.501982,-0.287371,0.594853
34,0.013710,0.7137,-10.2581,0.502677,-0.286290,0.579884,0.072321,0.000551,-1.610227,0.501982,-0.286968,0.594853
35,0.014113,0.7641,-11.3226,0.502955,-0.285887,0.579900,0.087277,-0.013820,-1.609503,0.501982,-0.286565,0.594853
36,0.014516,0.8145,-8.9032,0.502323,-0.285484,0.579872,0.053279,0.018841,-1.611002,0.501982,-0.286162,0.594853
37,0.014919,0.8649,-6.4839,0.501690,-0.285081,0.579871,0.019259,0.051501,-1.611976,0.501982,-0.285758,0.594853
38,0.015323,0.9153,-4.0645,0.501058,-0.284677,0.579897,-0.014780,0.084156,-1.612426,0.501982,-0.285355,0.594853
39,0.015726,0.9657,-1.6452,0.500427,-0.284274,0.579949,-0.048835,0.116805,-1.612351,0.501982,-0.284952,0.594853
40,0.016129,0.0161,0.7742,0.499799,-0.283871,0.580028,-0.082903,0.149443,-1.611751,0.501982,-0.284549,0.594853
