index,pivot_line_dev_mm,z_through_o_err_mm
0,0.0000,0.0002
1,0.0000,0.0003
2,0.0000,0.0008
3,0.0000,0.0006
4,0.0000,0.0007
5,0.0000,0.0003
6,0.0000,0.0009
7,0.0000,0.0007
8,0.0000,0.0004
9,0.0000,0.0004
10,0.0000,0.0005
11,0.0000,0.0008
12,0.0000,0.0007
13,0.0000,0.0004
14,0.0000,0.0004
15,0.0000,0.0008
16,0.0000,0.0003
17,0.0000,0.0006
18,0.0000,0.0002
19,0.0000,0.0008
20,0.0000,0.0004
21,0.0000,0.0004
22,0.0000,0.0006
23,0.0000,0.0005
24,0.0000,0.0008
25,0.0000,0.0005
26,0.0000,0.0004
27,0.0000,0.0005
28,0.0000,0.0008
29,0.0000,0.0006
30,0.0000,0.0005
31,0.0000,0.0005
32,0.0000,0.0004
33,0.0000,0.0010
34,0.0000,0.0005
35,0.0000,0.0003
36,0.0000,0.0004
37,0.0000,0.0008
38,0.0000,0.0003
39,0.0000,0.0004
40,0.0000,0.0006
41,0.0000,0.0006
42,0.0000,0.0008
43,0.0000,0.0005
44,0.0000,0.0006
45,0.0000,0.0005
46,0.0000,0.0009
47,0.0000,0.0006
48,0.0000,0.0004
49,0.0000,0.0005
50,0.0000,0.0009
51,0.0000,0.0003
52,0.0000,0.0004
53,0.0000,0.0006
54,0.0000,0.0006
55,0.0000,0.0009
56,0.0000,0.0006
57,0.0000,0.0006
58,0.0000,0.0005
59,0.0000,0.0009
60,0.0000,0.0005
61,0.0000,0.0005
62,0.0000,0.0007
63,0.0000,0.0004
64,0.0000,0.0010
65,0.0000,0.0006
66,0.0000,0.0003
67,0.0000,0.0005
68,0.0000,0.0008
69,0.0000,0.0006
70,0.0000,0.0004
71,0.0000,0.0004
72,0.0000,0.0003
73,0.0000,0.0009
74,0.0000,0.0003
75,0.0000,0.0004
76,0.0000,0.0003
77,0.0000,0.0010
78,0.0000,0.0004
79,0.0000,0.0005
80,0.0000,0.0005
81,0.0000,0.0008
82,0.0000,0.0004
83,0.0000,0.0007
84,0.0000,0.0005
85,0.0000,0.0005
86,0.0000,0.0009
87,0.0000,0.0006
88,0.0000,0.0007
89,0.0000,0.0006
90,0.0000,0.0010
91,0.0000,0.0004
92,0.0000,0.0005
93,0.0000,0.0003
94,0.0000,0.0005
95,0.0000,0.0010
96,0.0000,0.0004
97,0.0000,0.0005
98,0.0000,0.0004
99,0.0000,0.0009
100,0.0000,0.0007
101,0.0000,0.0004
102,0.0000,0.0005
103,0.0000,0.0007
104,0.0000,0.0008
105,0.0000,0.0003
106,0.0000,0.0002
107,0.0000,0.0005
108,0.0000,0.0008
109,0.0000,0.0003
110,0.0000,0.0005
111,0.0000,0.0005
112,0.0000,0.0010
113,0.0000,0.0005
114,0.0000,0.0004
115,0.0000,0.0005
116,0.0000,0.0006
117,0.0000,0.0010
118,0.0000,0.0004
119,0.0000,0.0004
120,0.0000,0.0006
121,0.0000,0.0009
122,0.0000,0.0002
123,0.0000,0.0004
124,0.0000,0.0005
125,0.0000,0.0004
126,0.0000,0.0008
127,0.0000,0.0004
128,0.0000,0.0006
129,0.0000,0.0004
130,0.0000,0.0008
131,0.0000,0.0006
132,0.0000,0.0006
133,0.0000,0.0005
134,0.0000,0.0004
135,0.0000,0.0009
136,0.0000,0.0006
137,0.0000,0.0005
138,0.0000,0.0005
139,0.0000,0.0008
140,0.0000,0.0004
141,0.0000,0.0005
142,0.0000,0.0002
143,0.0000,0.0008
144,0.0000,0.0003
145,0.0000,0.0007
146,0.0000,0.0005
147,0.0000,0.0004
148,0.0000,0.0010
149,0.0000,0.0005
150,0.0000,0.0004
151,0.0000,0.0005
152,0.0000,0.0009
153,0.0000,0.0006
154,0.0000,0.0005
155,0.0000,0.0003
156,0.0000,0.0005
157,0.0000,0.0008
158,0.0000,0.0007
159,0.0000,0.0006
160,0.0000,0.0007
161,0.0000,0.0010
162,0.0000,0.0006
163,0.0000,0.0005
164,0.0000,0.0005
165,0.0000,0.0007
166,0.0000,0.0009
167,0.0000,0.0004
168,0.0000,0.0005
169,0.0000,0.0005
170,0.0000,0.0009
171,0.0000,0.0007
172,0.0000,0.0003
173,0.0000,0.0004
174,0.0000,0.0008
175,0.0000,0.0005
176,0.0000,0.0003
177,0.0000,0.0004
178,0.0000,0.0004
179,0.0000,0.0010
180,0.0000,0.0003
181,0.0000,0.0005
182,0.0000,0.0003
183,0.0000,0.0010
184,0.0000,0.0006
185,0.0000,0.0004
186,0.0000,0.0007
187,0.0000,0.0005
188,0.0000,0.0009
189,0.0000,0.0004
190,0.0000,0.0005
191,0.0000,0.0006
192,0.0000,0.0009
193,0.0000,0.0004
194,0.0000,0.0006
195,0.0000,0.0006
196,0.0000,0.0004
197,0.0000,0.0008
198,0.0000,0.0005
199,0.0000,0.0005
200,0.0000,0.0004
201,0.0000,0.0010
202,0.0000,0.0005
203,0.0000,0.0005
204,0.0000,0.0006
205,0.0000,0.0009
206,0.0000,0.0003
207,0.0000,0.0006
208,0.0000,0.0006
209,0.0000,0.0004
210,0.0000,0.0008
211,0.0000,0.0003
212,0.0000,0.0004
213,0.0000,0.0003
214,0.0000,0.0009
215,0.0000,0.0006
216,0.0000,0.0004
217,0.0000,0.0005
218,0.0000,0.0005
219,0.0000,0.0010
220,0.0000,0.0004
221,0.0000,0.0005
222,0.0000,0.0004
223,0.0000,0.0009
224,0.0000,0.0003
225,0.0000,0.0005
226,0.0000,0.0006
227,0.0000,0.0004
228,0.0000,0.0009
229,0.0000,0.0002
230,0.0000,0.0002
231,0.0000,0.0006
232,0.0000,0.0008
233,0.0000,0.0003
234,0.0000,0.0004
235,0.0000,0.0004
236,0.0000,0.0010
237,0.0000,0.0003
238,0.0000,0.0005
239,0.0000,0.0004
240,0.0000,0.0004
241,0.0000,0.0010
242,0.0000,0.0005
243,0.0000,0.0003
244,0.0000,0.0007
245,0.0000,0.0010
246,0.0000,0.0004
247,0.0000,0.0003
248,0.0000,0.0002
249,0.0000,0.0005
250,0.0000,0.0008
251,0.0000,0.0007
252,0.0000,0.0003
253,0.0000,0.0006
254,0.0000,0.0010
255,0.0000,0.0003
256,0.0000,0.0006
257,0.0000,0.0005
258,0.0000,0.0003
259,0.0000,0.0008
260,0.0000,0.0003
261,0.0000,0.0007
262,0.0000,0.0005
263,0.0000,0.0009
264,0.0000,0.0004
265,0.0000,0.0005
266,0.0000,0.0005
267,0.0000,0.0010
268,0.0000,0.0005
269,0.0000,0.0005
270,0.0000,0.0003
271,0.0000,0.0005
272,0.0000,0.0008
273,0.0000,0.0005
274,0.0000,0.0006
275,0.0000,0.0005
276,0.0000,0.0009
277,0.0000,0.0004
278,0.0000,0.0004
279,0.0000,0.0005
280,0.0000,0.0005
281,0.0000,0.0008
282,0.0000,0.0005
283,0.0000,0.0006
284,0.0000,0.0005
285,0.0000,0.0010
286,0.0000,0.0004
287,0.0000,0.0005
288,0.0000,0.0005
289,0.0000,0.0006
290,0.0000,0.0009
291,0.0000,0.0003
292,0.0000,0.0005
293,0.0000,0.0004
294,0.0000,0.0008
295,0.0000,0.0005
296,0.0000,0.0004
297,0.0000,0.0005
298,0.0000,0.0010
299,0.0000,0.0002
300,0.0000,0.0006
301,0.0000,0.0005
302,0.0000,0.0006
303,0.0000,0.0009
304,0.0000,0.0005
305,0.0000,0.0006
306,0.0000,0.0006
307,0.0000,0.0009
308,0.0000,0.0006
309,0.0000,0.0006
310,0.0000,0.0006
311,0.0000,0.0003
312,0.0000,0.0009
313,0.0000,0.0003
314,0.0000,0.0006
315,0.0000,0.0003
316,0.0000,0.0009
317,0.0000,0.0005
318,0.0000,0.0005
319,0.0000,0.0005
320,0.0000,0.0006
321,0.0000,0.0008
322,0.0000,0.0005
323,0.0000,0.0006
324,0.0000,0.0006
325,0.0000,0.0008
326,0.0000,0.0003
327,0.0000,0.0006
328,0.0000,0.0003
329,0.0000,0.0010
330,0.0000,0.0005
331,0.0000,0.0006
332,0.0000,0.0006
333,0.0000,0.0004
334,0.0000,0.0010
335,0.0000,0.0003
336,0.0000,0.0006
337,0.0000,0.0005
338,0.0000,0.0009
339,0.0000,0.0005
340,0.0000,0.0002
341,0.0000,0.0003
342,0.0000,0.0006
343,0.0000,0.0009
344,0.0000,0.0005
345,0.0000,0.0003
346,0.0000,0.0006
347,0.0000,0.0009
348,0.0000,0.0006
349,0.0000,0.0006
350,0.0000,0.0003
351,0.0000,0.0005
352,0.0000,0.0010
353,0.0000,0.0002
354,0.0000,0.0006
355,0.0000,0.0004
356,0.0000,0.0009
357,0.0000,0.0004
358,0.0000,0.0004
359,0.0000,0.0005
360,0.0000,0.0008
361,0.0000,0.0003
362,0.0000,0.0004
363,0.0000,0.0004
364,0.0000,0.0002
365,0.0000,0.0011
366,0.0000,0.0004
367,0.0000,0.0004
368,0.0000,0.0005
369,0.0000,0.0008
370,0.0000,0.0004
371,0.0000,0.0004
372,0.0000,0.0008
373,0.0000,0.0004
374,0.0000,0.0008
375,0.0000,0.0003
376,0.0000,0.0005
377,0.0000,0.0004
378,0.0000,0.0008
379,0.0000,0.0007
380,0.0000,0.0002
381,0.0000,0.0004
382,0.0000,0.0004
383,0.0000,0.0008
384,0.0000,0.0003
385,0.0000,0.0005
386,0.0000,0.0004
387,0.0000,0.0009
388,0.0000,0.0005
389,0.0000,0.0004
390,0.0000,0.0006
391,0.0000,0.0008
392,0.0000,0.0006
393,0.0000,0.0005
394,0.0000,0.0003
395,0.0000,0.0006
396,0.0000,0.0009
397,0.0000,0.0004
398,0.0000,0.0006
399,0.0000,0.0003
400,0.0000,0.0009
401,0.0000,0.0005
402,0.0000,0.0006
403,0.0000,0.0003
404,0.0000,0.0002
405,0.0000,0.0009
406,0.0000,0.0005
407,0.0000,0.0005
408,0.0000,0.0006
409,0.0000,0.0008
410,0.0000,0.0006
411,0.0000,0.0004
412,0.0000,0.0006
413,0.0000,0.0006
414,0.0000,0.0009
415,0.0000,0.0006
416,0.0000,0.0003
417,0.0000,0.0006
418,0.0000,0.0008
419,0.0000,0.0003
420,0.0000,0.0006
421,0.0000,0.0006
422,0.0000,0.0009
423,0.0000,0.0004
424,0.0000,0.0006
425,0.0000,0.0005
426,0.0000,0.0005
427,0.0000,0.0009
428,0.0000,0.0004
429,0.0000,0.0003
430,0.0000,0.0006
431,0.0000,0.0008
432,0.0000,0.0006
433,0.0000,0.0003
434,0.0000,0.0006
435,0.0000,0.0006
436,0.0000,0.0010
437,0.0000,0.0005
438,0.0000,0.0006
439,0.0000,0.0006
440,0.0000,0.0009
441,0.0000,0.0006
442,0.0000,0.0006
443,0.0000,0.0005
444,0.0000,0.0006
445,0.0000,0.0008
446,0.0000,0.0007
447,0.0000,0.0005
448,0.0000,0.0004
449,0.0000,0.0009
450,0.0000,0.0003
451,0.0000,0.0004
452,0.0000,0.0005
453,0.0000,0.0008
454,0.0000,0.0005
455,0.0000,0.0006
456,0.0000,0.0005
457,0.0000,0.0005
458,0.0000,0.0009
459,0.0000,0.0006
460,0.0000,0.0005
461,0.0000,0.0006
462,0.0000,0.0009
463,0.0000,0.0003
464,0.0000,0.0005
465,0.0000,0.0005
466,0.0000,0.0004
467,0.0000,0.0008
468,0.0000,0.0005
469,0.0000,0.0005
470,0.0000,0.0006
471,0.0000,0.0009
472,0.0000,0.0004
473,0.0000,0.0005
474,0.0000,0.0003
475,0.0000,0.0005
476,0.0000,0.0009
477,0.0000,0.0006
478,0.0000,0.0005
479,0.0000,0.0005
480,0.0000,0.0009
481,0.0000,0.0004
482,0.0000,0.0005
483,0.0000,0.0007
484,0.0000,0.0008
485,0.0000,0.0003
486,0.0000,0.0003
487,0.0000,0.0005
488,0.0000,0.0006
489,0.0000,0.0008
490,0.0000,0.0007
491,0.0000,0.0006
492,0.0000,0.0003
493,0.0000,0.0010
494,0.0000,0.0004
495,0.0000,0.0005
496,0.0000,0.0002
497,0.0000,0.0003
498,0.0000,0.0008
499,0.0000,0.0006
500,0.0000,0.0007
501,0.0000,0.0003
